date,price,OT,LogRet,LogRet3,LogRet5,LogRet7,SMA3,SMA5,SMA7,EMA3,EMA5,EMA7,MACD,MACD_Signal,RSI,ETS,SARIMA
2022-12-09 00:00:00,17133.15234375,-0.00025846420531521353,-0.005838370505888547,0.0059599279123048595,0.0019289306421712124,-0.04218980898149945,0.0008502839142377679,3.112355527574023e-05,0.00037146076742117104,0.0012628978496651566,0.001679795349407822,0.0018496525348722418,0.0016292235481193344,0.002132026468542025,55.80577383674066,0.0050548288667863345,0.007156402342467252
2022-12-10 00:00:00,17128.724609375,-0.00143319679738864,-0.00025846420531521353,0.03286478873072886,-0.02562838102102438,0.008827572352892032,0.005505788456611937,0.001805084557643523,0.0018508565763470364,0.0005022168221749715,0.0010337088311668104,0.001322623349825378,0.0013448813687944262,0.0019745974485925054,55.639033186293766,0.005325250650696621,0.003374940977462673
2022-12-11 00:00:00,17104.193359375,0.0059599279123048595,-0.00143319679738864,0.0019289306421712124,-0.04218980898149945,-0.002212331171359141,-0.002510010502864155,0.00017183814800189528,-0.0002194347466178705,-0.00046548998760683423,0.0002114069549816604,0.0006336683130218736,0.0010130690116218239,0.0017822917611983692,54.59620953006615,0.0026379685643702754,-0.00416847960839251
2022-12-12 00:00:00,17206.4375,0.03286478873072886,0.0059599279123048595,-0.02562838102102438,0.008827572352892032,-0.01917645189485355,0.0014227556365336473,0.004208819296950411,0.0019360219861619845,0.0027472189623490126,0.0021275806074227267,0.00196523321284262,0.0013313220532242885,0.001692097819603553,58.350340440207276,-0.0023116202153561274,0.0020264028528770885
2022-12-13 00:00:00,17781.318359375,0.0019289306421712124,0.03286478873072886,-0.04218980898149945,-0.002212331171359141,0.027988705082472278,0.012463839948548336,0.006258937026888256,0.0056691296261490364,0.017806003846538937,0.01237331664852477,0.00969012209231418,0.003711750546511048,0.0020960283649850524,72.89174138020968,0.00012241903482415855,0.0031648664609558452
2022-12-14 00:00:00,17815.650390625,-0.02562838102102438,0.0019289306421712124,0.008827572352892032,-0.01917645189485355,-0.005264509420176635,0.013584549095068288,0.007812397256500209,0.007976830836807456,0.009867467244355074,0.008891854646406919,0.007749824229778437,0.0030666417345116197,0.002290151038890366,73.52859746444622,0.008646879149064807,0.021945725167354768
2022-12-15 00:00:00,17364.865234375,-0.04218980898149945,-0.02562838102102438,-0.002212331171359141,0.027988705082472278,0.0007612154110786702,0.0030551127839585405,0.002738413893358374,0.0010850335365125954,-0.007880456888334653,-0.0026148905760701798,-0.0005947270829222667,0.0003279630541487533,0.0018977134419420436,54.22765484663444,0.00800050344830505,0.025305163686781467
2022-12-16 00:00:00,16647.484375,0.008827572352892032,-0.04218980898149945,-0.01917645189485355,-0.005264509420176635,-0.0019858084288219657,-0.021963086453450898,-0.005412908543463788,-0.004108029102860391,-0.025035132934917055,-0.015806530044546605,-0.010993497557566564,-0.003142602393742088,0.0008896502748052173,36.59077022692627,0.001742483512816155,-0.018652998549991504
2022-12-17 00:00:00,16795.091796875,-0.002212331171359141,0.008827572352892032,0.027988705082472278,0.0007612154110786702,0.0030199561547248985,-0.019663539216543957,-0.004839379655346353,-0.0028100238802593563,-0.00810378029101251,-0.0075951625787337275,-0.006038230079951915,-0.001756130630870439,0.00036049409367008606,41.13601258112713,-0.008193427033239144,-0.05008677014710609
2022-12-18 00:00:00,16757.9765625,-0.01917645189485355,-0.002212331171359141,-0.005264509420176635,-0.0019858084288219657,-0.0003425096739709631,-0.011858189266655543,-0.011854803635763952,-0.0029213287908265704,-0.005158055731185825,-0.005800885442942199,-0.005081755352803721,-0.0015305267601178683,-1.771007708750482e-05,40.29794434802719,-0.006772124105304346,-0.019950851244987675
2022-12-19 00:00:00,16439.6796875,0.027988705082472278,-0.01917645189485355,0.0007612154110786702,0.0030199561547248985,0.004609855984671537,-0.004187070237773576,-0.016075880143168905,-0.0065122401918492,-0.012167253813019687,-0.010259407593579316,-0.008605429488316179,-0.0026895928819424125,-0.0005520866380584864,33.53697265177104,-0.008689859867173763,0.010143794668868493
2022-12-20 00:00:00,16906.3046875,-0.005264509420176635,0.027988705082472278,-0.0019858084288219657,-0.0003425096739709631,-0.012048246868378581,0.00219997400541984,-0.0053524629224695735,-0.007208823570171568,0.007910725634726296,0.0024899632984378816,0.0005431041543809355,0.0001954201761520132,-0.0004025852752163865,48.22938435735681,-0.011231025744305866,-0.01526237583993824
2022-12-21 00:00:00,16817.53515625,0.0007612154110786702,-0.005264509420176635,0.0030199561547248985,0.004609855984671537,-0.009895050300250239,0.001182581255814008,0.0020325969897949897,-0.00823645786479269,0.0013231081072748304,-9.486094110029053e-05,-0.0009087992392584572,-0.0001991470483574194,-0.00036189762984459306,45.99740520537132,-0.0015249370015991256,0.009243773807422691
